FileName,difficulty,diff,JPName,ENName,Vintage,SongName,Artist,Difficulty,Length,easy,med,hard,very hard,Genres,Tags
Ameku M.D. Doctor Detective - SCOPE by Aimer [amq-79033].webm,medium,medium,Ameku Takao no Suiri Karte,Ameku M.D.: Doctor Detective,Winter 2025,SCOPE,Aimer,45,"88,938",,,,,,
Possibly the Greatest Alchemist of All Time - TREASURE! by DIALOGUE+ [amq-79035].webm,easy,easy,Izure Saikyou no Renkinjutsushi?,Possibly the Greatest Alchemist of All Time,Winter 2025,TREASURE!,DIALOGUE+,26,"89,062",,,,,,
Bogus Skill Fruitmaster About that Time I Became Able to Eat Unlimited Numbers of Skill Fruits (That Kill You) - Bravely Dance by Aglio Olio e Peperoncino × Yukihana Lamy [amq-79023].webm,easy,easy,"Hazure Skill ""Kinomi Master"": Skill no Mi (Tabetara Shinu) o Mugen ni Taberareru You ni Natta Ken ni Tsuite",Bogus Skill <<Fruitmaster>>: About that Time I Became Able to Eat Unlimited Numbers of Skill Fruits (That Kill You),Winter 2025,Bravely Dance,Aglio Olio e Peperoncino × Yukihana Lamy,32,"89,095",,,,,,
Headhunted to Another World From Salaryman to Big Four! - Isekai Kyousoukyoku by Kentaro Seino [amq-79038].webm,easy,easy,Salaryman ga Isekai ni Ittara Shitennou ni Natta Hanashi,Headhunted to Another World: From Salaryman to Big Four!,Winter 2025,Isekai Kyousoukyoku,Kentaro Seino,32,"89,854",,,,,,
"OKITSURA Fell in Love with an Okinawan Girl, but I Just Wish I Know What She's Saying - Dai Dai Daisuki by HY [amq-79066].webm",easy,easy,Okinawa de Suki ni Natta Ko ga Hougen Sugite Tsurasugiru,"OKITSURA: Fell in Love with an Okinawan Girl, but I Just Wish I Know What She's Saying",Winter 2025,Dai Dai Daisuki,HY,37,"89,055",,,,,,
Sora-iro Utility - Shujinkou ni Narou! by Masayoshi Oishi feat. Airi Suzuki [amq-79053].webm,easy,easy,Sora-iro Utility,Sora-iro Utility,Winter 2025,Shujinkou ni Narou!,Masayoshi Oishi feat. Airi Suzuki,39,"87,477",,,,,,
Beheneko The Elf-Girl's Cat is Secretly an S-Ranked Monster! - Saijoukyuu no Kokoro by Nonoka Obuchi [amq-79060].webm,easy,easy,"S-Rank Monster no ""Behemoth"" dakedo, Neko to Machigawarete Elf Musume no Pet Toshite Kurashitemasu",Beheneko: The Elf-Girl's Cat is Secretly an S-Ranked Monster!,Winter 2025,Saijoukyuu no Kokoro,Nonoka Obuchi,28,"99,656",,,,,,
Solo Leveling Season 2 Arise from the Shadow - ReawakeR by LiSA feat. Felix of Stray Kids [amq-79065].webm,hard,hard,Ore dake Level Up na Ken: Arise from the Shadow,Solo Leveling Season 2: Arise from the Shadow,Winter 2025,ReawakeR,LiSA feat. Felix of Stray Kids,69,"87,644",,,,,,
Momentary Lily - Oishii Survivor by HANABIE. [amq-79052].webm,easy,easy,Momentary Lily,Momentary Lily,Winter 2025,Oishii Survivor,HANABIE.,38,"89,437",,,,,,
"I'm Getting Married to a Girl I Hate in My Class - Koibito Ijou, Suki Miman by =LOVE [amq-79056].webm",easy,easy,Class no Daikirai na Joshi to Kekkon Suru Koto ni Natta.,I'm Getting Married to a Girl I Hate in My Class,Winter 2025,"Koibito Ijou, Suki Miman",=LOVE,29,"88,168",,,,,,
Tasokare Hotel - Tasokare by Kayoko Yoshizawa [amq-79057].webm,easy,easy,Tasokare Hotel,Tasokare Hotel,Winter 2025,Tasokare,Kayoko Yoshizawa,30,"89,145",,,,,,
