FileName,difficulty,diff,JPName,ENName,Vintage,SongName,Artist,Difficulty,Length,easy,med,hard,very hard,Genres,Tags
Otaku ni Koi wa Muzukashii - Fiction by sumika,easy,easy,One Punch Man,One Punch Man,Fall 2015,THE HERO !! ~Ikareru Kobushi ni Hi o Tsukero~,JAM Project,91,"89,808",267,884,1260,527,Action; Comedy; Sci-Fi; Supernatural,Superhero; Super Power; Parody; Male Protagonist; Satire; Urban Fantasy; Surreal Comedy
Shinseiki Evangelion - Zankoku na Tenshi no Thesis by Yoko Takahashi,easy,easy,Shinseiki Evangelion,Neon Genesis Evangelion,Fall 1995,Zankoku na Tenshi no Thesis,Yoko Takahashi,91,"89,904",,,,,Action; Drama; Mecha; Mystery; Psychological; Sci-Fi,Philosophy; Coming of Age; Tragedy; Super Robot; Denpa; Cosmic Horror; Dystopian; Post-Apocalyptic; Angels; Psychosexual; Suicide; Primarily Teen Cast; Kaiju; Conspiracy; Male Protagonist; Aliens; Body Horror
Steins;Gate - Hacking to the Gate by Kanako Itou,easy,easy,Steins;Gate,Steins;Gate,Spring 2011,Hacking to the Gate,Kanako Itou,90,"89,424",,,,,Drama; Psychological; Sci-Fi; Thriller,Time Manipulation; Alternate Universe; Time Loop; Conspiracy; Tragedy; Memory Manipulation; Male Protagonist; Urban; Dystopian; Primarily Adult Cast
Tokyo Ghoul - unravel by TK from Ling Tosite Sigure,easy,easy,Tokyo Ghoul,Tokyo Ghoul,Summer 2014,unravel,TK from Ling Tosite Sigure,90,"86,883",,,,,Action; Drama; Horror; Mystery; Psychological; Supernatural,Gore; Urban Fantasy; Tragedy; Survival; Torture; Body Horror; Male Protagonist; Anti-Hero
Gegege no Kitarou - Gegege no Kitarou by Kazuo Kumakura,hard,easy,Gegege no Kitarou,Gegege no Kitarou,Winter 1968,Gegege no Kitarou,Kazuo Kumakura,89,"91,2",,,,,Adventure; Supernatural,Youkai; Full CGI
Kakegurui - Deal with the devil by Tia,easy,easy,Kakegurui,Kakegurui,Summer 2017,Deal with the devil,Tia,89,"95,04",,,,,Drama; Mystery; Psychological,Gambling; Female Protagonist; School; Primarily Female Cast; Body Horror; Masochism
Boku dake ga Inai Machi - ReRe by ASIAN KUNG-FU GENERATION,easy,easy,Boku dake ga Inai Machi,ERASED,Winter 2016,Re:Re:,ASIAN KUNG-FU GENERATION,88,"88,968",,,,,Drama; Mystery; Psychological; Supernatural; Thriller,Age Regression; Time Manipulation; Crime; Tragedy; Time Skip; Primarily Child Cast; Detective; Alternate Universe; Male Protagonist; Urban Fantasy; Snowscape
Death Parade - Flyers by BRADIO,easy,easy,Death Parade,Death Parade,Winter 2015,Flyers,BRADIO,88,"78,96",,,,,Drama; Mystery; Psychological; Supernatural; Thriller,Death Game; Afterlife; Philosophy; Tragedy; Amnesia; Memory Manipulation; Reincarnation; Bar; Primarily Adult Cast
Kimetsu no Yaiba - Gurenge by LiSA,easy,easy,Kimetsu no Yaiba,Demon Slayer: Kimetsu no Yaiba,Spring 2019,Gurenge,LiSA,88,"89,544",,,,,Action; Adventure; Drama; Fantasy; Supernatural,Demons; Shounen; Swordplay; Male Protagonist; Vampire; Tragedy
"Death Note - What's up, people! by Maximum the Hormone",easy,easy,Death Note,Death Note,Fall 2006,"What's up, people?!",Maximum the Hormone,87,"79,032",,,,,Mystery; Psychological; Supernatural; Thriller,Crime; Detective; Anti-Hero; Male Protagonist; Fugitive; Police; Philosophy; Primarily Adult Cast; Kuudere; Gods; Memory Manipulation
Kobayashi-san Chi no Maid Dragon - Aozora no Rhapsody by fhána,easy,easy,Kobayashi-san Chi no Maid Dragon,Miss Kobayashi's Dragon Maid,Winter 2017,Aozora no Rhapsody,fhána,87,"89,424",,,,,Comedy; Fantasy; Slice of Life,Found Family; Dragons; Monster Girl; Family Life; Cute Girls Doing Cute Things; Female Protagonist; Primarily Female Cast; Maids; Magic; Episodic; Anthropomorphism; Urban; Yuri
Koe no Katachi - MY GENERATION by THE WHO,easy,easy,Koe no Katachi,A Silent Voice,Summer 2016,MY GENERATION,THE WHO,87,"113,184",,,,,Drama; Romance; Slice of Life,Disability; Bullying; Rehabilitation; Language Barrier; Coming of Age; Suicide; Tragedy; Male Protagonist
Mob Psycho 100 - 99 by MOB CHOIR,easy,easy,Mob Psycho 100,Mob Psycho 100,Summer 2016,99,MOB CHOIR,87,"89,04",,,,,Action; Comedy; Drama; Psychological; Slice of Life; Supernatural,Super Power; Coming of Age; Urban Fantasy; Philosophy; Ghost; Primarily Teen Cast
Mob Psycho 100 Reigen Shirarezaru Kiseki Reinouryokusha - 99 by MOB CHOIR,easy,easy,Mob Psycho 100 Reigen: Shirarezaru Kiseki Reinouryokusha,Mob Psycho 100 Reigen The Miraculous Unknown Psychic,Winter 2018,99,MOB CHOIR,87,"89,04",,,,,Action; Comedy; Supernatural,Urban Fantasy; Super Power; Male Protagonist; Satire; Writing; Urban
Pocket Monsters - Pokémon Theme by Jason Paige,easy,easy,Pocket Monsters,Pokémon,Spring 1997,Pokémon Theme,Jason Paige,87,"60,672",,,,,Action; Adventure; Comedy; Fantasy,Travel; Animals; Creature Taming; Primarily Child Cast; Kids; Episodic; Proxy Battle; Male Protagonist
Shingeki no Kyojin - Guren no Yumiya by Linked Horizon,easy,easy,Shingeki no Kyojin,Attack on Titan,Spring 2013,Guren no Yumiya,Linked Horizon,87,"90,456",,,,,Action; Drama; Fantasy; Mystery,Revenge; Kaiju; Male Protagonist; Tragedy; Military; Post-Apocalyptic; Primarily Teen Cast; Super Power; Henshin; Steampunk; Swordplay
Sword Art Online - crossing field by LiSA,easy,easy,Sword Art Online,Sword Art Online,Summer 2012,crossing field,LiSA,87,"88,272",,,,,Action; Adventure; Fantasy; Romance,Virtual World; Isekai; Death Game; Video Games; Swordplay; Male Protagonist; Primarily Teen Cast; Heterosexual; Primarily Female Cast
Yuri!!! on Ice - History Maker by DEAN FUJIOKA,easy,easy,Yuri!!! on Ice,Yuri!!! on Ice,Fall 2016,History Maker,DEAN FUJIOKA,87,"89,04",,,,,Comedy; Drama; Sports,Ice Skating; Primarily Male Cast; Male Protagonist; LGBTQ+ Themes; Foreign
Bakemonogatari - Renai Circulation by Kana Hanazawa,easy,easy,Bakemonogatari,Bakemonogatari,Summer 2009,Renai Circulation,Kana Hanazawa,86,"88,536",,,,,Comedy; Drama; Mystery; Psychological; Romance; Supernatural,Youkai; Ensemble Cast; Urban Fantasy; Kuudere; Male Protagonist; Surreal Comedy; Philosophy; Coming of Age; Ghost; Vampire; Primarily Female Cast
Boku no Hero Academia - Peace Sign by Kenshi Yonezu,easy,easy,Boku no Hero Academia,My Hero Academia,Spring 2017,Peace Sign,Kenshi Yonezu,86,"89,016",,,,,Action; Adventure; Comedy,Super Power; Superhero; Shounen; Primarily Teen Cast; Male Protagonist; School; Urban Fantasy
Lupin Sansei - Lupin Sansei Sono 1 by Charlie Kosei,easy,easy,Lupin Sansei,Lupin III,Fall 1971,Lupin Sansei Sono 1,Charlie Kosei,86,"72,48",,,,,Adventure; Comedy,
No Game No Life - This game by Konomi Suzuki,easy,easy,No Game No Life,No Game No Life,Spring 2014,This game,Konomi Suzuki,86,"88,536",,,,,Adventure; Comedy; Ecchi; Fantasy,Isekai; Gambling; Alternate Universe; Video Games; Hikikomori
ReZero kara Hajimeru Isekai Seikatsu - Paradisus-Paradoxum by MYTH  ROID,easy,easy,Re:Zero kara Hajimeru Isekai Seikatsu,Re:Zero: Starting Life in Another World,Spring 2016,Paradisus-Paradoxum,MYTH & ROID,86,"89,376",,,,,Action; Adventure; Drama; Fantasy; Psychological; Romance; Thriller,Time Manipulation; Isekai; Time Loop; Tragedy; Alternate Universe; Male Protagonist; Witch; Magic
Shigatsu wa Kimi no Uso Moments - Hikaru Nara by Goose house,easy,easy,Shigatsu wa Kimi no Uso: Moments,Your Lie in April: Moments,Spring 2015,Hikaru Nara,Goose house,86,"88,968",,,,,Music; Slice of Life,Primarily Child Cast; Musical Theater; Classical Music
Boku no Hero Academia - THE DAY by Porno Graffitti,easy,easy,Boku no Hero Academia,My Hero Academia,Spring 2016,THE DAY,Porno Graffitti,85,"89,544",,,,,Action; Adventure; Comedy,Super Power; Superhero; Shounen; Primarily Teen Cast; Male Protagonist; School; Urban Fantasy
Cowboy Bebop - Tank! by Seatbelts,easy,easy,Cowboy Bebop,Cowboy Bebop,Spring 1998,Tank!,Seatbelts,85,"89,568",,,,,Action; Adventure; Drama; Sci-Fi,Space; Crime; Episodic; Ensemble Cast; Primarily Adult Cast; Tragedy; Travel; Noir; Philosophy; Anti-Hero; Guns; Cyberpunk; Male Protagonist; Found Family
Death Note - the WORLD by Nightmare,easy,easy,Death Note,Death Note,Fall 2006,the WORLD,Nightmare,85,"79,032",,,,,Mystery; Psychological; Supernatural; Thriller,Crime; Detective; Anti-Hero; Male Protagonist; Fugitive; Police; Philosophy; Primarily Adult Cast; Kuudere; Gods; Memory Manipulation
Dumbbell Nan-Kilo Moteru - Onegai Muscle by Fairouz Ai  Kaito Ishikawa,easy,easy,Dumbbell Nan-Kilo Moteru?,How Heavy Are the Dumbbells You Lift?,Summer 2019,Onegai Muscle,Fairouz Ai & Kaito Ishikawa,85,"89,544",,,,,Comedy; Ecchi; Slice of Life; Sports,Fitness; Educational; Athletics; Female Protagonist; Urban; Primarily Female Cast; Episodic; Tomboy
Hunter x Hunter - departure! by Masatoshi Ono,easy,easy,Hunter x Hunter,Hunter x Hunter,Fall 2011,departure!,Masatoshi Ono,85,"78,144",,,,,Action; Adventure; Fantasy,Shounen; Ensemble Cast; Super Power; Cultivation; Male Protagonist
