Year,Season,Rank,Title,English Title,Romaji Title,Wymagane,Ile jest,Brakuje,Kolumna1,,,,
2025,SUMMER,1,DAN DA DAN Season 2,DAN DA DAN Season 2,Dandadan 2nd Season,7,7,0,,,,,
2025,SUMMER,2,My Dress-Up Darling Season 2,My Dress-Up Darling Season 2,Sono Bisque Doll wa Koi wo Suru Season 2,7,7,0,,,,,
2025,SUMMER,3,Gachiakuta,Gachiakuta,Gachiakuta,7,7,0,,,,,
2025,SUMMER,4,Kaiju No. 8 Season 2,The Fragrant Flower Blooms With Dignity,Kaoru Hana wa Rin to Saku,7,7,0,,,,,
2025,SUMMER,5,The Fragrant Flower Blooms With Dignity,Kaiju No. 8 Season 2,Kaijuu 8-gou 2nd Season,7,7,0,,,,,
2025,SUMMER,6,Demon Slayer Kimetsu no Yaiba Infinity Castle,Demon Slayer: Kimetsu no Yaiba Infinity Castle,Kimetsu no Yaiba: Mugenjou-hen Movie 1 - Akaza Sairai,5,,5,,,,,
2025,SUMMER,7,Chainsaw Man – The Movie Reze Arc,Chainsaw Man – The Movie: Reze Arc,Chainsaw Man: Reze-hen,5,,5,,,,,
2025,SUMMER,8,The Summer Hikaru Died,The Summer Hikaru Died,Hikaru ga Shinda Natsu,5,5,0,,,,,
2025,SUMMER,9,Takopi's Original Sin,Takopi's Original Sin,Takopii no Genzai,5,5,0,,,,,
2025,SUMMER,10,Call of the Night Season 2,SAKAMOTO DAYS Part 2,SAKAMOTO DAYS Part 2,5,5,0,,,,,
2025,SUMMER,11,SAKAMOTO DAYS Part 2,Call of the Night Season 2,Yofukashi no Uta Season 2,3,3,0,,,,,
2025,SUMMER,12,Rascal Does Not Dream of Santa Claus,Rascal Does Not Dream of Santa Claus,Seishun Buta Yarou wa Santa Claus no Yume wo Minai,3,3,0,,,,,
2025,SUMMER,13,The Rising of the Shield Hero Season 4,The Rising of the Shield Hero Season 4,Tate no Yuusha no Nariagari Season 4,3,3,0,,,,,
2025,SUMMER,14,Dr. STONE SCIENCE FUTURE Cour 2,Dr. STONE SCIENCE FUTURE Cour 2,Dr. STONE: SCIENCE FUTURE Part 2,3,3,0,,,,,
2025,SUMMER,15,The Water Magician,The Water Magician,Mizu Zokusei no Mahou Tsukai,3,3,0,,,,,
2025,SUMMER,16,Grand Blue Dreaming Season 2,Grand Blue Dreaming Season 2,Grand Blue Season 2,3,3,0,,,,,
2025,SUMMER,17,Secrets of the Silent Witch,Secrets of the Silent Witch,Silent Witch: Chinmoku no Majo no Kakushigoto,3,4,-1,,,,,
2025,SUMMER,18,TOUGEN ANKI,TOUGEN ANKI,Tougen Anki,3,3,0,,,,,
2025,SUMMER,19,Clevatess,Clevatess,Clevatess: Majuu no Ou to Akago to Kabane no Yuusha,3,3,0,,,,,
2025,SUMMER,20,I Was Reincarnated as the 7th Prince so I Can Take My Time Perfecting My Magical Ability Season 2,I Was Reincarnated as the 7th Prince so I Can Take My Time Perfecting My Magical Ability Season 2,"Tensei Shitara Dai Nana Ouji Dattanode, Kimamani Majutsu wo Kiwamemasu 2nd Season",3,3,0,,,,,
2025,SPRING,1,Fire Force Season 3,Fire Force Season 3,Enen no Shouboutai: San no Shou,7,4,3,,,,,
2025,SPRING,2,LAZARUS,LAZARUS,Lazarus,7,6,1,,,,,
2025,SPRING,3,WIND BREAKER Season 2,WIND BREAKER Season 2,WIND BREAKER Season 2,7,7,0,,,,,
2025,SPRING,4,The Beginning After the End,The Beginning After the End,"Saikyou no Ousama, Nidome no Jinsei wa Nani wo Suru?",7,6,1,,,,,
2025,SPRING,5,WITCH WATCH,WITCH WATCH,Witch Watch,7,8,-1,,,,,
2025,SPRING,6,From Old Country Bumpkin to Master Swordsman,From Old Country Bumpkin to Master Swordsman,"Katainaka no Ossan, Kensei ni Naru",5,5,0,,,,,
2025,SPRING,7,KOWLOON GENERIC ROMANCE,KOWLOON GENERIC ROMANCE,Kowloon Generic Romance,5,5,0,,,,,
